% Model,AuNP-7-30nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:23"
% Dimension,3
% Nodes,33519
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-4.301339185275743E-14,-211.78749999999994,-294.1312499999999,1.2105786675624E-6
-4.466775307786349E-14,-236.490625,-285.89687499999997,9.375159322799212E-7
-4.135903062765138E-14,-228.25625,-285.89687499999997,1.200412910216525E-6
-4.5494933690416516E-14,-236.490625,-277.6625,1.305659074710014E-6
-3.970466940254532E-14,-228.25625,-277.6625,1.6910002959182145E-6
4.135903062765138E-14,-269.42812499999997,-252.95937499999994,8.638934904320344E-7
4.053185001509835E-14,-261.19374999999997,-252.95937499999988,1.2292568154082343E-6
-2.4815418376590826E-15,-269.42812499999997,-244.72499999999988,1.1011431867446871E-6
-3.3087224502121103E-15,-261.19374999999997,-244.72499999999988,1.5861739266994968E-6
1.530284133223101E-14,-252.959375,-269.42812499999997,1.0011065793124455E-6
1.654361225106055E-14,-244.725,-269.42812499999997,1.3553259670314061E-6
8.437242248040881E-14,-252.959375,-261.1937499999999,1.3373109773109534E-6
8.437242248040881E-14,-244.725,-261.1937499999999,1.8288227751577483E-6
-2.605618929542037E-14,-203.5531249999999,-302.36562499999997,8.498844742508975E-7
-8.271806125530275E-15,-203.55312499999994,-310.59999999999997,4.717901998137607E-7
-3.391440511467413E-14,-195.31875,-302.36562499999997,9.371891495709121E-7
-2.3161057151484772E-14,-195.31875000000002,-310.6,4.3022204613364915E-7
-4.384057246531046E-14,-203.55312499999994,-294.1312499999999,1.428390384845338E-6
-4.466775307786349E-14,-195.31874999999994,-294.1312499999999,1.6790574477131783E-6
-1.3234889800848441E-14,-310.59999999999997,-203.55312499999997,9.735607020190795E-8
-1.4889251025954495E-14,-302.36562499999997,-203.55312499999994,2.746553316588988E-7
-1.654361225106055E-14,-294.13124999999997,-203.55312499999997,5.423156859305581E-7
-1.3234889800848441E-14,-310.59999999999997,-195.31875,1.180684415392188E-7
-1.654361225106055E-14,-302.36562499999997,-195.31875,2.938402024938818E-7
-1.985233470127266E-14,-294.13124999999997,-195.31874999999997,5.754758245561559E-7
-3.639594695233321E-14,-285.89687499999997,-220.021875,7.861292927821732E-7
-3.4741585727227156E-14,-277.6625,-220.021875,1.2211594615602692E-6
-1.3234889800848441E-14,-285.89687499999997,-211.78749999999994,9.005660852615849E-7
-1.3234889800848441E-14,-277.66249999999997,-211.78749999999994,1.42254376368434E-6
-2.6883369907973396E-14,-269.42812499999997,-236.49062499999997,1.3479296150177377E-6
-2.4815418376590827E-14,-261.19374999999997,-236.49062499999994,1.982498027255531E-6
-5.128519797828771E-14,-269.42812499999997,-228.25625000000002,1.662848566005641E-6
-4.6322114302969543E-14,-261.19374999999997,-228.25625,2.483868227582624E-6
-4.0118259708821836E-14,-220.02187499999997,-285.89687499999997,1.5144346188147625E-6
-3.8877488789992294E-14,-211.78749999999997,-285.89687499999997,1.8726807795369746E-6
-3.722312756488624E-14,-220.02187499999997,-277.6625,2.1651842978409853E-6
-3.4741585727227156E-14,-211.78749999999997,-277.6625,2.710562134288087E-6
2.067951531382569E-14,-236.490625,-269.42812499999997,1.8446563969102668E-6
2.4815418376590827E-14,-228.25625,-269.42812499999997,2.423299382136761E-6
8.685396431806789E-14,-236.490625,-261.1937499999999,2.5264724075920606E-6
8.933550615572698E-14,-228.25625,-261.19374999999985,3.354269354027286E-6
4.0118259708821836E-14,-252.95937499999994,-252.95937499999994,1.7820756798502149E-6
3.970466940254532E-14,-244.725,-252.95937499999988,2.482789496369244E-6
-4.1359030627651376E-15,-252.959375,-244.72499999999988,2.3307081909341527E-6
-4.963083675318165E-15,-244.72499999999994,-244.72499999999988,3.2861564725594814E-6
-6.617444900424221E-15,-310.59999999999997,-187.084375,1.557393134353618E-7
-1.9438744394996147E-14,-302.36562499999997,-187.084375,2.9821441233672216E-7
-3.226004388956807E-14,-294.13124999999997,-187.08437499999997,5.384944032815107E-7
0,-310.59999999999997,-178.85,2.2894057757828878E-7
-2.2333876538931744E-14,-302.36562499999997,-178.85,3.1604954079526526E-7
-4.466775307786349E-14,-294.13124999999997,-178.85,5.196014648788898E-7
-2.729696021424991E-14,-187.08437499999997,-302.36562499999997,1.0736002775278068E-6
-1.1580528575742386E-14,-187.084375,-310.6,3.4930366376245653E-7
-2.067951531382569E-14,-178.84999999999997,-302.36562499999997,1.243607248838336E-6
0,-178.84999999999997,-310.59999999999997,5.052952152080585E-7
-4.301339185275743E-14,-187.08437499999997,-294.1312499999999,1.8813716092597657E-6
-4.135903062765138E-14,-178.84999999999997,-294.1312499999999,2.1119514519871572E-6
-3.846389848371578E-14,-203.55312499999994,-285.89687499999997,2.2420850044342534E-6
-3.8050308177439267E-14,-195.31874999999994,-285.89687499999997,2.6622104448554168E-6
-3.30872245021211E-14,-203.55312499999997,-277.6625,3.2916681287802353E-6
-3.1432863277015045E-14,-195.31874999999997,-277.6625,3.96158808480041E-6
-1.6957202557337064E-14,-285.89687499999997,-203.55312499999994,9.297930656179199E-7
-1.7370792863613578E-14,-277.66249999999997,-203.55312499999997,1.4907457901533446E-6
-2.067951531382569E-14,-285.89687499999997,-195.31874999999997,1.0046521685464803E-6
-2.1506695926378716E-14,-277.6625,-195.31874999999997,1.6379554462453581E-6
-3.184645358329156E-14,-269.42812499999997,-220.02187499999997,1.9168377837633172E-6
-2.895132143935596E-14,-261.19374999999997,-220.02187499999997,2.928450734280015E-6
-1.2407709188295414E-14,-269.42812499999997,-211.78749999999994,2.2727726795608143E-6
-1.1580528575742386E-14,-261.19374999999997,-211.78749999999994,3.5375185747688927E-6
-2.3574647457761286E-14,-252.959375,-236.49062499999994,2.9805856522653457E-6
-2.2333876538931744E-14,-244.725,-236.49062499999994,4.298156356571791E-6
