Wavelength  [nm],3nm Extinction [a.u.],5nm Extinction [a.u.],7nm Extinction [a.u.],9nm Extinction [a.u.],11nm Extinction [a.u.],13nm Extinction [a.u.],15nm Extinction [a.u.],17nm Extinction [a.u.]
222.15177,0,-0.024819999999999998,Inf,0.22184999999999999,-0.80810999999999999,NaN,NaN,NaN
222.42060000000001,-0.1963,0.19142000000000001,NaN,0.02555,-0.069639999999999994,NaN,-0.07918,NaN
222.68941000000001,-0.55284,-0.21686,-0.20412,-0.61395999999999995,-0.13566,NaN,NaN,-0.41913
222.95822000000001,-0.21912999999999999,-0.18009,-0.77815000000000001,NaN,-0.30103000000000002,0.80810999999999999,Inf,-1.39794
223.22702000000001,0.10551000000000001,0.17069999999999999,0.69896999999999998,NaN,NaN,-0.12494,NaN,0.47711999999999999
223.49582000000001,0.21085000000000001,0.16273000000000001,NaN,NaN,NaN,NaN,-0.10266,0.40576000000000001
223.7646,NaN,0.27396999999999999,-0.18451999999999999,0.55284,0.39794000000000002,NaN,0,NaN
224.03337999999999,NaN,-0.057540000000000001,-0.1181,1.10721,-1.0607,-0.62324999999999997,-1.2552700000000001,NaN
224.30215000000001,-0.63682000000000005,-0.12426,0,1,0.30103000000000002,0.14133000000000001,0.81291000000000002,0.1963
224.57091,-1.4149700000000001,-0.68574000000000002,0.096909999999999996,0,0.030669999999999999,NaN,0.46239999999999998,0.39794000000000002
224.83967000000001,-0.98900999999999994,NaN,0.86922999999999995,NaN,-0.96614,-0.11197,NaN,-0.58826999999999996
225.10840999999999,0.021190000000000001,NaN,-0.39794000000000002,0.05799,-0.05271,NaN,NaN,NaN
225.37715,0.02154,0.36269000000000001,NaN,0.64625999999999995,0.39794000000000002,NaN,0.62324999999999997,NaN
225.64588000000001,-0.33578999999999998,NaN,0.58186000000000004,NaN,-0.15357999999999999,0.1181,NaN,NaN
225.91461000000001,-0.72946,-0.42674000000000001,NaN,0.23408000000000001,0.51851000000000003,1.2041200000000001,NaN,-0.47711999999999999
226.18332000000001,0.22184999999999999,0.57064999999999999,NaN,0.309,0.1181,0.21181,0.85387000000000002,0.50266999999999995
226.45203000000001,-0.92942000000000002,-0.73038000000000003,0.014239999999999999,1.02119,NaN,-0.23657,-0.13566,Inf
226.72073,-0.33774999999999999,-0.69896999999999998,-0.19497999999999999,-0.65320999999999996,-0.30103000000000002,-0.038629999999999998,NaN,-0.084320000000000006
226.98942,0,0.13528000000000001,-0.25828000000000001,Inf,0.066949999999999996,-0.0089499999999999996,0.16481000000000001,NaN
227.25810999999999,-0.16273000000000001,0.39794000000000002,0,NaN,0.14613000000000001,-0.11887,-0.081309999999999993,0.45863999999999999
227.52678,-0.25527,0.34678999999999999,-0.040430000000000001,NaN,NaN,-0.093420000000000003,0.67342000000000002,0.34678999999999999
227.79544999999999,-0.29148000000000002,-0.060699999999999997,NaN,NaN,-0.43933,0.07639,NaN,0.082970000000000002
228.06411,-0.19836999999999999,-0.15257999999999999,-0.30103000000000002,-0.25527,NaN,0.052389999999999999,-0.47711999999999999,0.11394
228.33276000000001,-0.07918,0.13200999999999999,-0.57815000000000005,0.10914,-0.95423999999999998,0.23408000000000001,NaN,0.47711999999999999
228.60140999999999,-0.51851000000000003,-0.01307,-0.43933,0.1963,NaN,0.58357999999999999,0.72699999999999998,0.30103000000000002
228.87004999999999,-0.18421000000000001,-0.095170000000000005,0.05271,0.05552,0.30103000000000002,0.60206000000000004,NaN,-0.25527
229.13867999999999,-0.38885999999999998,-0.24415999999999999,0.16481000000000001,-0.10605000000000001,0.10763,0.46798000000000001,-0.096909999999999996,-0.11651
229.40729999999999,-0.041390000000000003,NaN,1.04139,1.0607,0.87505999999999995,0.57403000000000004,0.12494,-0.15323000000000001
229.67590999999999,1.3010299999999999,0.30103000000000002,-0.13033,NaN,0.089609999999999995,NaN,-0.30103000000000002,0.066949999999999996
229.94452000000001,NaN,0.093530000000000002,-0.063670000000000004,-0.22184999999999999,NaN,0.58982999999999997,-0.014239999999999999,0.37741999999999998
230.21312,NaN,-0.31175000000000003,-0.41016999999999998,0.21560000000000001,1.50515,NaN,0.051150000000000001,1.1139399999999999
230.48170999999999,-0.14391000000000001,-0.98114000000000001,0.15490000000000001,0.051150000000000001,NaN,0.39794000000000002,0.44716,NaN
230.75029000000001,-0.10473,NaN,0.22184999999999999,0.81291000000000002,NaN,-0.30103000000000002,0.18631,-0.04922
231.01886999999999,0.074630000000000002,-0.083680000000000004,-0.47711999999999999,0.51188,0.24598,0.39794000000000002,0.35793999999999998,NaN
