% Model,AuNP-5-78nm-inc-Mas-Air.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 12:59"
% Dimension,3
% Nodes,32092
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
0,-166.23109375000004,-240.09437500000004,1.0002173982842922E-6
0,-158.02406250000004,-240.0943750000001,1.1928525152786555E-6
1.654361225106055E-14,-182.64515625000004,-231.88734375000007,9.801952026572545E-7
1.5716431638507523E-14,-174.43812499999999,-231.88734375000004,1.2381210247377853E-6
3.30872245021211E-14,-182.64515625,-223.68031250000004,1.3929734011134207E-6
3.1432863277015045E-14,-174.43812499999999,-223.6803125,1.7827787328025498E-6
6.32793168603066E-14,-199.05921875,-215.47328125000004,1.1007130425595391E-6
6.203854594147706E-14,-190.85218750000004,-215.47328125000004,1.49286181982454E-6
9.098986738083303E-14,-199.05921875000004,-207.2662500000001,1.4869342082475883E-6
8.933550615572698E-14,-190.85218750000004,-207.2662500000001,2.042347434606301E-6
-4.1359030627651376E-15,-248.30140624999999,-149.8170312500001,2.409423974735911E-7
1.3234889800848441E-14,-240.09437500000004,-149.8170312500001,4.039811837483333E-7
2.067951531382569E-14,-248.30140625000004,-141.61000000000004,2.3528700245566835E-7
5.6248281653605876E-14,-240.09437500000004,-141.61000000000004,3.9845523399345424E-7
-1.4062070413401469E-14,-149.81703125000004,-248.30140625000004,8.808319197738802E-7
-1.4062070413401469E-14,-141.61000000000004,-248.30140625000004,9.774098349909375E-7
0,-149.81703125000004,-240.0943750000001,1.3401784095790836E-6
0,-141.61000000000004,-240.0943750000001,1.5082895265092622E-6
2.6883369907973396E-14,-231.88734374999999,-166.23109375000007,6.843981494289487E-7
2.6469779601696882E-14,-223.6803125,-166.23109375000007,1.113090847377317E-6
-2.977850205190899E-14,-231.88734375,-158.02406250000013,7.570607216516549E-7
-2.977850205190899E-14,-223.6803125,-158.02406250000013,1.2567677175855823E-6
3.8050308177439267E-14,-215.47328125000004,-182.64515625000007,1.392082125434306E-6
3.970466940254532E-14,-207.26625000000004,-182.64515625000007,2.13034555966902E-6
