% Model,AuNP-7-30nm-inc.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 13:54"
% Dimension,3
% Nodes,36335
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-4.263256414560601E-14,-310.2875,-187.06484374999994,1.2411594964256247E-7
-4.218847493575594E-14,-302.07265625,-187.06484374999997,2.417769136310271E-7
-4.1744385725905886E-14,-293.85781249999997,-187.06484374999997,4.3911522056009434E-7
-2.8421709430404004E-14,-310.2875,-178.85000000000002,1.8600513842913146E-7
-2.930988785010413E-14,-302.07265625,-178.85000000000002,2.563095987764974E-7
-3.019806626980425E-14,-293.85781249999997,-178.85000000000005,4.239471794096346E-7
0,-203.49453125,-285.64296874999997,1.8143862090195391E-6
0,-195.27968750000005,-285.64296874999997,2.153499460704306E-6
0,-203.49453125,-277.428125,2.6636565078597625E-6
0,-195.27968750000002,-277.428125,3.2039748186978354E-6
-9.769962616701379E-15,-219.92421875000002,-269.21328125,2.5588920814236416E-6
-1.0658141036401504E-14,-211.70937500000002,-269.21328125,3.2445425333836297E-6
-1.9539925233402758E-14,-219.92421875000002,-260.99843749999997,3.605066702181271E-6
-2.131628207280301E-14,-211.70937500000002,-260.99843749999997,4.6259346188441344E-6
-7.993605777301127E-15,-236.35390625000002,-252.78359375000002,2.8426497797214276E-6
-8.881784197001252E-15,-228.13906250000005,-252.78359375000002,3.8416632484339075E-6
0,-236.35390625000002,-244.56875000000002,3.822564456230603E-6
0,-228.13906250000005,-244.56875000000002,5.225562271216241E-6
-7.993605777301127E-15,-252.78359375000002,-236.35390624999997,2.4199907819195576E-6
-7.105427357601001E-15,-244.56875000000002,-236.35390625,3.488246241940119E-6
-1.5987211554602254E-14,-252.78359375000002,-228.13906249999997,3.076773585924974E-6
-1.4210854715202002E-14,-244.56875000000002,-228.13906249999997,4.50103331712697E-6
-9.769962616701378E-15,-269.21328125,-219.92421874999994,1.5589180923382812E-6
-8.88178419700125E-15,-260.99843749999997,-219.92421874999994,2.3810503633446585E-6
0,-269.21328125,-211.70937499999994,1.8488035351204267E-6
0,-260.99843749999997,-211.7093749999999,2.8771259694257683E-6
-2.575717417130363E-14,-285.64296874999997,-203.4945312499999,7.573613600291107E-7
-2.4868995751603507E-14,-277.428125,-203.4945312499999,1.214019622904029E-6
-5.151434834260726E-14,-285.64296874999997,-195.27968749999985,8.179666363514138E-7
-4.973799150320701E-14,-277.428125,-195.27968749999985,1.3335470886037758E-6
0,-187.06484375000002,-285.64296874999997,2.4241854316685383E-6
0,-178.85000000000002,-285.64296874999997,2.7283754133806863E-6
0,-187.06484375000002,-277.428125,3.6548833789457423E-6
0,-178.85000000000002,-277.428125,4.174098101616223E-6
-3.7747582837255316E-14,-285.64296875,-187.06484374999994,7.816327504554307E-7
-3.375077994860476E-14,-277.428125,-187.06484374999994,1.2852175802287775E-6
-2.3980817331903378E-14,-285.64296875,-178.85000000000002,7.856253215665331E-7
-1.77635683940025E-14,-277.4281250000001,-178.85000000000002,1.3085008033770664E-6
