% Model,Supported-Internal-m075.mph
% Version,COMSOL 5.6.0.401
% Date,"Aug 30 2023, 14:04"
% Table,Table 1 - Global Evaluation 1
% theta_i (rad),wlength (nm),lambda0 (nm),Q_abs (1),Q_sca (1)
1.13271868454432,536.9999999999999,536.9999999999999,1.3551818863995364,4.017446168880807E-4
1.13271868454432,537.25,537.25,1.3539039289083736,4.349043938072701E-4
1.13271868454432,537.5,537.5,1.35225641817997,3.7365567022867977E-4
1.13271868454432,537.75,537.75,1.3505573510731772,3.5443901887731487E-4
1.13271868454432,538,538,1.3490419208080036,4.2678346500876546E-4
1.13271868454432,538.2499999999999,538.2499999999999,1.347519922418076,3.6820048696247897E-4
1.13271868454432,538.5,538.5,1.3455799682784098,4.175061864908414E-4
1.13271868454432,538.75,538.75,1.3440446496479077,3.416918045618658E-4
1.13271868454432,539,539,1.3425362352038395,4.1374992647365256E-4
1.13271868454432,539.25,539.25,1.3400021572924732,4.3102535072733175E-4
1.13271868454432,539.5,539.5,1.3382482134037748,4.2665806398931185E-4
1.13271868454432,539.7499999999999,539.7499999999999,1.336229916191474,3.7485830310547984E-4
1.13271868454432,540,540,1.3341034786861903,3.997215195486959E-4
1.13271868454432,550,550,1.219349346641206,4.184358157980634E-4
1.13271868454432,560,560,1.0731259518945484,3.918215784082424E-4
1.13271868454432,570,570,0.9154939030903506,3.6771578601782425E-4
1.13271868454432,580,580,0.7600841873793674,3.262311544803073E-4
1.13271868454432,590,590,0.6210112671516558,3.1338784728390145E-4
1.13271868454432,600,600,0.5059938263093758,2.681543470552089E-4
1.13271868454432,610,610,0.4158839394109374,2.3031573962590464E-4
1.13271868454432,619.9999999999999,619.9999999999999,0.34606183411923797,1.9508284272841533E-4
1.13271868454432,629.9999999999999,629.9999999999999,0.2919063781178991,1.7685670444461378E-4
1.13271868454432,639.9999999999999,639.9999999999999,0.24938291778481966,1.6030681549883966E-4
1.13271868454432,650,650,0.21571941926990754,1.341726894448459E-4
1.13271868454432,660,660,0.18890040023560828,1.2461446812194574E-4
1.13271868454432,670,670,0.16755860953653073,1.107841420622805E-4
1.13271868454432,680,680,0.15026981468168724,1.0992084526645745E-4
1.13271868454432,690,690,0.13621401900860416,9.520418127328343E-5
1.13271868454432,700,700,0.12424451413518757,8.363994884149744E-5
